1,(单选题)民法调整的对象包括两大类，分别是平等主体之间的（）,<p>A人生关系财产关系</p><p>B人身关系财产关系</p><p>C人身关系社会关系</p><p>D人生关系经济关系</p>,4,B,民法调整的对象包括两大类，分别是平等主体之间的人身关系和财产关系。,0,0
1,(单选题)（），是指民事主体依法享有民事权利，承担民事义务的资格。,<p>A民事行为能力</p><p>B民事行动能力</p><p>C民事权利能力</p><p>D民事权益能力</p>,4,C,民事权利能力，是指民事主体依法享有民事权利，承担民事义务的资格。,0,0
1,(单选题)（）标志着银行监管制度的正式确立。,<p>A法律制度</p><p>B监管模式</p><p>C监管目标</p><p>D监管原则</p>,4,A,为防止股票过度投机，英国国会通过了《反泡沫公司法》，标志着世界金融史上政府实施金融监管的正式开始，其主要原则一致影响到今天，所以，法律制度标志着银行监管制度的正式确立。,0,0
1,(单选题)（）的支持与承诺是商业银行有效风险管理的基石。,<p>A董事会</p><p>B高级管理层</p><p>C监事会</p><p>D股东会</p>,4,B,高级管理层的支持与承诺是商业银行有效风险管理的基石。,0,0
1,(单选题)（）后，我国开始人民币跨境贸易和投资结算试点。,<p>A2001年</p><p>B2004年</p><p>C2009年</p><p>D2010年</p>,4,C,2009年6月后，我国开始人民币跨境贸易和投资结算试点。,0,0
1,(单选题)（）将未来可预计的风险损失量化为当期成本，衡量了经过风险调整后的收益率大小，成为现代商业银行普遍采用一种新型的以风险为基础的价值创造能力考察指标。,<p>A净利息收益率</p><p>B股权收益率</p><p>C净现金流量</p><p>D经济资本回报率</p>,4,D,经济资本回报率将未来可预计的风险损失量化为当期成本，衡量了经过风险调整后的收益率大小，成为现代商业银行普遍采用的一种新型的以风险为基础的价值创造能力考察指标。,0,0
1,(单选题)（）年，我国颁布了《民法通则》确立了我国民法的基本原则和基本制度。,<p>A1986</p><p>B1987</p><p>C1988</p><p>D1989</p>,4,A,1986年，我国颁布了《民法通则》确立了我国民法的基本原则和基本制度。,0,0
1,(单选题)（）是调整平等民事主体之间人身关系和财产关系法律规范的总称。,<p>A民法</p><p>B商法</p><p>C刑法</p><p>D行政法律</p>,4,A,民法是调整平等民事主体之间人身关系和财产关系法律规范的总称。,0,0
1,(单选题)（）是物权中最完整、最充分的权利。,<p>A所有权</p><p>B用益物权</p><p>C担保物权</p><p>D使用权</p>,4,A,所有权是物权中最完整、最充分的权利。,0,0
1,(单选题)（）是银行根据各项内外部约束，量身定做的一套兼顾当前及未来资本充足率要求，发展目标和管理需要的关于资本需求和补充的计划。,<p>A资产计划</p><p>B资本计划</p><p>C战略计划</p><p>D发展计划</p>,4,B,资本计划是银行根据各项内外部约束，量身定做的一套兼顾当前及未来资本充足率要求，发展目标和管理需要的关于资本需求和补充的计划。,0,0
1,(单选题)（）是指代理人根据人民法院或者指定机关的指定而进行的代理。,<p>A法定代理</p><p>B直接代理</p><p>C委托代理</p><p>D指定代理</p>,4,D,指定代理是指代理人根据人民法院或者指定机关的指定而进行的代理。,0,0
1,(单选题)（）是指夫妻双方在婚前、婚后都没有约定或约定无效时，直接适用有关法律规定的夫妻财产制度。,<p>A约定夫妻财产制</p><p>B法定夫妻财产制</p><p>C夫妻共同财产制</p><p>D夫妻个人财产制</p>,4,B,法定夫妻财产制是指夫妻双方在婚前、婚后都没有约定或约定无效时，直接适用有关法律规定的夫妻财产制度。,0,0
