1,(单选题)双峰监管型的代表国家是（）。,<p>A美国</p><p>B日本</p><p>C英国</p><p>D澳大利亚</p>,4,D,澳大利亚和荷兰是"双峰"监管型的代表。,0,0
1,(单选题)（），是指双方在原合同中约定解除权条款，或另行签订一个合同赋予一方或双方当事人在一定条件下享有解除权。,<p>A协议解除</p><p>B约定解除权</p><p>C法定解除</p><p>D协议解除权</p>,4,B,约定解除权是指双方在原合同中约定解除权条款，或另行签订一个合同赋予一方或双方当事人在一定条件下享有解除权。,0,0
1,(单选题)（）不是合同的相对性的体现。,<p>A主体相对</p><p>B内容相对</p><p>C责任相对</p><p>D义务相对</p>,4,D,合同的相对性体现在主体相对、内容相对、责任相对三个方面。,0,0
1,(单选题)（）负责对商业银行董事和监事履职的综合评价，向银行业监督管理机构报告最终评价结构并通报股东大会。,<p>A监事会</p><p>B董事会</p><p>C股东会</p><p>D高级管理层</p>,4,A,监事会负责对商业银行董事和监事履职的综合评价，向银行业监督管理机构报告最终评价结构并通报股东大会。,0,0
1,(单选题)（）即自我管理机构，是政府监管的重要辅助，也是监管机构进行监管必要的和有益的补充。,<p>A自律组织</p><p>B监管机构</p><p>C中介机构</p><p>D政府部门</p>,4,A,自律组织即自我管理机构，是政府监管的重要辅助，也是监管机构进行监管必要的和有益的补充。,0,0
1,(单选题)（）隶属于贷款决策过程，是货款全流程管理中的关键环节之一。,<p>A贷款申请</p><p>B受理与调查</p><p>C风险评价</p><p>D货款审批</p>,4,C,风险评价隶属于贷款决策过程，是贷款全流程管理中的关键环节之一。,0,0
1,(单选题)（）是代表政府干预经济、管理金融的特殊的金融机构。,<p>A证监会</p><p>B银监会</p><p>C中央银行</p><p>D中国银行</p>,4,C,中央银行是代表政府干预经济、管理金融的特殊的金融机构。,0,0
1,(单选题)（）是投资风险全部由银行承担的理财产品。,<p>A非保本浮动收益理财产品</p><p>B保本浮动收益理财产品</p><p>C保本固定收益产品</p><p>D保证最低收益产品</p>,4,C,保本固定收益产品是指银行按照合同约定的事项向投资者支付全额本金和固定收益产品，投资风险全部由银行承担。,0,0
1,(单选题)（）是现代银行信用风险管理基本要求和体现,<p>A权重法</p><p>B内部评级法</p><p>C影子价法</p><p>D指数法</p>,4,B,内部评级法是现代银行信用风险管理基本要求的体现。,0,0
1,(单选题)（）是银行确定的在一定期限内对其客户提供短期授信支持的量化控制指标，银行一般要与客户签订授信协议。,<p>A项目货款承诺</p><p>B客户授信额度</p><p>C票据发行便利</p><p>D信贷证明</p>,4,B,客户授信额度是银行确定的在一定期限内对其客户提供短期授信支持的量化控制指标，银行一般要与客户签定授信协议。,0,0
1,(单选题)（）是指对保函申请人诚信、善意、及时履行基础交易中约定义务的保证。,<p>A借款保函</p><p>B授信额度保函</p><p>C履约保函</p><p>D即期付款保函</p>,4,C,履约保函是指对保函申请人诚信、善意、及时履行基础交易中约定义务的保证。,0,0
